initateRA,firstRA,successRA,retranmission
272,270,272,2
240,240,240,1
410,392,-1,11
273,271,273,2
407,389,-1,11
449,443,449,4
282,280,282,2
412,394,-1,11
535,517,-1,11
569,551,-1,11
160,160,160,1
476,458,-1,11
426,408,-1,11
449,431,-1,11
367,349,-1,11
625,607,-1,11
323,323,323,1
267,267,267,1
55,55,55,1
370,352,-1,11
544,526,-1,11
587,569,-1,11
551,533,-1,11
402,384,-1,11
280,278,280,2
203,203,203,1
207,207,207,1
282,282,282,1
501,483,-1,11
318,300,-1,11
245,245,245,1
514,496,-1,11
289,289,289,1
617,599,-1,11
136,136,136,1
752,752,752,1
445,427,-1,11
261,261,261,1
600,582,-1,11
589,571,-1,11
572,554,-1,11
464,446,-1,11
148,148,148,1
280,280,280,1
276,274,276,2
564,546,-1,11
159,159,159,1
558,540,-1,11
364,346,-1,11
465,447,-1,11
371,353,-1,11
367,349,-1,11
457,439,-1,11
584,566,-1,11
388,370,-1,11
808,808,808,1
97,97,97,1
420,402,-1,11
259,255,259,3
402,384,-1,11
350,332,-1,11
571,553,-1,11
488,470,-1,11
519,501,-1,11
103,103,103,1
573,555,-1,11
341,323,-1,11
350,332,-1,11
148,148,148,1
573,555,-1,11
561,543,-1,11
515,497,-1,11
365,347,-1,11
359,341,-1,11
383,365,-1,11
771,771,771,1
254,254,254,1
499,481,-1,11
545,527,-1,11
756,756,756,1
621,603,-1,11
308,290,-1,11
617,599,-1,11
571,553,-1,11
113,113,113,1
292,280,292,7
419,401,-1,11
224,224,224,1
626,608,-1,11
417,399,-1,11
299,291,299,5
686,686,686,1
341,323,-1,11
641,623,-1,11
588,570,-1,11
568,550,-1,11
513,495,-1,11
670,666,670,3
511,493,-1,11
307,305,307,2
315,315,315,1
571,553,-1,11
570,552,-1,11
243,243,243,1
403,385,-1,11
433,415,-1,11
236,236,236,1
621,615,621,4
487,469,-1,11
569,551,-1,11
611,593,-1,11
328,310,-1,11
599,581,-1,11
361,343,-1,11
380,362,-1,11
616,598,-1,11
495,477,-1,11
121,121,121,1
417,399,-1,11
426,408,-1,11
180,180,180,1
215,215,215,1
418,400,-1,11
430,412,-1,11
439,421,-1,11
128,128,128,1
456,438,-1,11
517,499,-1,11
226,226,226,1
432,414,-1,11
509,491,-1,11
361,343,-1,11
657,645,657,7
426,408,-1,11
281,277,281,3
407,389,-1,11
639,621,-1,11
530,512,-1,11
478,460,-1,11
373,355,-1,11
198,198,198,1
430,412,-1,11
454,436,-1,11
401,383,-1,11
281,277,281,3
282,282,282,1
261,259,261,2
368,350,-1,11
244,244,244,1
653,641,653,7
481,463,-1,11
518,500,-1,11
162,162,162,1
579,561,-1,11
228,228,228,1
401,383,-1,11
