initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
1,53,0,1,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
3,51,0,3,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
5,49,0,5,0,0,0.125
1,53,0,1,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
6,48,0,6,0,0,0.125
11,43,0,11,0,0,0.125
2,52,0,2,0,0,0.125
1,53,0,1,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
0,54,0,0,0,0,0.125
3,51,0,3,0,0,0.125
16,38,0,16,0,0,0.125
17,37,0,17,0,0,0.125
9,45,0,9,0,0,0.125
5,49,0,5,0,0,0.125
2,52,0,2,0,0,0.125
4,50,0,4,0,0,0.125
7,47,0,7,0,0,0.125
14,40,0,14,0,0,0.125
21,33,0,21,0,0,0.125
23,31,0,23,0,0,0.125
17,37,0,17,0,0,0.125
9,45,0,9,0,0,0.125
5,49,0,5,0,0,0.125
2,52,0,2,0,0,0.125
6,48,0,6,0,0,0.125
13,42,0,13,0,0,0.125
18,37,0,18,0,0,0.125
23,31,0,23,0,0,0.125
15,39,0,15,0,0,0.125
11,43,0,11,0,0,0.125
7,47,0,7,0,0,0.125
18,38,0,18,0,0,0.125
22,35,0,22,0,0,0.125
26,32,0,26,0,0,0.125
32,30,0,32,0,0,0.125
24,30,0,24,0,0,0.125
23,31,0,23,0,0,0.125
19,35,0,19,0,0,0.125
16,38,0,16,0,0,0.125
24,31,0,24,0,0,0.125
24,31,0,24,0,0,0.125
28,28,0,28,0,0,0.125
30,29,0,30,0,0,0.125
28,29,0,28,0,0,0.125
24,30,0,24,0,0,0.125
18,36,0,18,0,0,0.125
14,40,0,14,0,0,0.125
32,23,0,31,1,0,0.125
34,25,0,34,0,0,0.125
39,25,0,39,0,0,0.125
46,25,0,46,0,0,0.125
29,29,0,29,0,0,0.125
26,29,0,26,0,0,0.125
25,29,0,25,0,0,0.125
21,33,0,21,0,0,0.125
44,17,0,37,7,0,0.125
48,17,0,41,7,0,0.125
52,19,0,47,5,0,0.125
51,24,0,51,0,0,0.125
31,29,0,31,0,0,0.125
